GeographyCode,KS101EW0001,KS101EW0002,KS101EW0003,KS101EW0004,KS101EW0005,KS101EW0006,KS101EW0007,KS101EW0008,KS101EW0009,KS101EW0010,KS101EW0011,KS101EW0012
K04000001,56075912,27573376,28502536,55071113,1004799,685206,15101353.83,3.71330363,49.17151593,50.82848407,98.20814506,1.791854941
E92000001,53012456,26069148,26943308,52059931,952525,650145,13027842.85,4.069166063,49.17551452,50.82448548,98.2032053,1.7967947
W92000004,3063456,1504228,1559228,3011182,52274,35061,2073510.98,1.477424537,49.10232104,50.89767896,98.29362654,1.706373455
E12000001,2596886,1269703,1327183,2550818,46068,22618,857316.93,3.029085172,48.89328989,51.10671011,98.22602917,1.773970825
E12000002,7052177,3464685,3587492,6927820,124357,76565,1410534.6,4.99964836,49.12929724,50.87070276,98.23661545,1.763384555
E12000003,5283733,2598078,2685655,5185677,98056,54976,1540763.62,3.429295014,49.17125828,50.82874172,98.14419086,1.855809141
E12000004,4533222,2234493,2298729,4442192,91030,54416,1560641.67,2.90471675,49.29149731,50.70850269,97.99193598,2.008064022
E12000005,5601847,2763187,2838660,5509535,92312,61499,1299831.58,4.309671411,49.32635611,50.67364389,98.35211494,1.647885064
E12000006,5846965,2875807,2971158,5748605,98360,78159,1910838.21,3.059895374,49.18461116,50.81538884,98.31775973,1.682240273
E12000007,8173941,4033289,4140652,8073700,100241,99779,157215.08,51.99209262,49.34326049,50.65673951,98.77365153,1.226348465
E12000008,8634750,4239298,4395452,8446500,188250,130976,1906964.91,4.528006758,49.09578158,50.90421842,97.81985582,2.180144185
E12000009,5288935,2590608,2698327,5175084,113851,71157,2383736.25,2.218758472,48.98165699,51.01834301,97.84737381,2.15262619
E06000001,92028,44751,47277,91091,937,780,9386.11,9.804700776,48.6275916,51.3724084,98.98183162,1.018168384
E06000002,138412,67732,70680,136156,2256,1040,5387.47,25.69146557,48.93506343,51.06493657,98.37008352,1.629916481
E06000003,135177,65655,69522,133929,1248,1096,24489.51,5.519791944,48.56965312,51.43034688,99.07676602,0.923233982
E06000004,191610,94082,97528,187959,3651,1991,20393.06,9.395843488,49.10077762,50.89922238,98.09456709,1.905432911
E06000005,105564,51483,54081,104111,1453,1218,19747.51,5.345686621,48.76946686,51.23053314,98.6235838,1.376416202
E06000006,125746,61368,64378,124874,872,1001,7909.52,15.89805702,48.80314284,51.19685716,99.30653858,0.693461422
E06000007,202228,100300,101928,198828,3400,2589,18065.39,11.19422277,49.59748403,50.40251597,98.31872935,1.681270645
E06000008,147489,73547,73942,145827,1662,1467,13701.18,10.76469326,49.86609171,50.13390829,98.8731363,1.126863698
E06000009,142065,69775,72290,137960,4105,1073,3488.1,40.72847682,49.1148418,50.8851582,97.1104776,2.889522402
E06000010,256406,128420,127986,252748,3658,1488,7144.92,35.88647599,50.0846314,49.9153686,98.57335632,1.426643682
E06000011,334179,163388,170791,326951,7228,4469,240767.65,1.38797301,48.89236008,51.10763992,97.83708731,2.162912691
E06000012,159616,78247,81369,157786,1830,1387,19184.49,8.320054377,49.02202787,50.97797213,98.8534984,1.146501604
E06000013,167446,82623,84823,165871,1575,1777,84631.29,1.978535362,49.3430718,50.6569282,99.05939825,0.940601746
E06000014,198051,96254,101797,190392,7659,2638,27193.63,7.282992377,48.60061297,51.39938703,96.13281428,3.867185725
E06000015,248752,123046,125706,244625,4127,2431,7803.11,31.87857149,49.46533093,50.53466907,98.34091786,1.659082138
E06000016,329839,162884,166955,321527,8312,3332,7331.48,44.98941551,49.38288074,50.61711926,97.47998266,2.520017342
E06000017,37369,18915,18454,34252,3117,842,38151.51,0.979489409,50.61682143,49.38317857,91.65886162,8.341138377
E06000018,305680,153777,151903,289738,15942,2556,7461.16,40.96950072,50.3065297,49.6934703,94.78474221,5.215257786
E06000019,183477,90302,93175,180595,2882,3080,217973.24,0.84174094,49.21706808,50.78293192,98.42923091,1.570769088
E06000020,166641,82549,84092,164440,2201,1813,29031.32,5.740042134,49.5370287,50.4629713,98.6791966,1.320803404
E06000021,249008,123995,125013,246075,2933,1545,9345.02,26.64606389,49.7955889,50.2044111,98.8221262,1.177873803
E06000022,176016,86072,89944,169977,6039,2937,34574.08,5.090981452,48.90009999,51.09990001,96.5690619,3.430938097
E06000023,428234,213071,215163,418814,9420,3927,10960.76,39.06973604,49.75574102,50.24425898,97.80026808,2.199731922
E06000024,202566,98463,104103,199225,3341,2727,37378.6,5.419304094,48.60786114,51.39213886,98.35066102,1.649338981
E06000025,262767,130424,132343,258207,4560,2948,49694.56,5.287641142,49.6348476,50.3651524,98.26462227,1.73537773
E06000026,256384,126684,129700,251100,5284,1978,7983.36,32.11479878,49.41181977,50.58818023,97.93902896,2.060971043
E06000027,130959,63110,67849,127908,3051,1265,6287.4,20.82880046,48.19065509,51.80934491,97.67026321,2.329736788
E06000028,183491,91386,92105,179138,4353,1785,4617.88,39.7349,49.80407758,50.19592242,97.62767656,2.372323438
E06000029,147645,72121,75524,145103,2542,1718,6475.33,22.80115454,48.84757357,51.15242643,98.27830269,1.721697315
E06000030,209156,104618,104538,207858,1298,2098,23010.36,9.089644838,50.01912448,49.98087552,99.37941058,0.620589417
E06000031,183631,90859,92772,181827,1804,2040,34337.82,5.347776883,49.47911845,50.52088155,99.01759507,0.982404932
E06000032,203201,101954,101247,201549,1652,2232,4335.33,46.87094177,50.17396568,49.82603432,99.18701187,0.812988125
E06000033,173658,85037,88621,171489,2169,1852,4175.6,41.58875371,48.9680867,51.0319133,98.75099333,1.249006668
E06000034,157705,77823,79882,157072,633,1302,16337.6,9.652886593,49.34719888,50.65280112,99.59861767,0.401382328
E06000035,263925,130825,133100,259988,3937,2492,19203.31,13.74372439,49.56900635,50.43099365,98.50828834,1.491711661
E06000036,113205,56107,57098,110512,2693,1811,10938.54,10.34918737,49.56229849,50.43770151,97.62112981,2.378870191
E06000037,153822,76321,77501,150878,2944,3036,70416.82,2.184449681,49.61643978,50.38356022,98.08609952,1.913900482
E06000038,155698,77967,77731,151330,4368,1927,4039.86,38.54044447,50.07578774,49.92421226,97.19456897,2.805431027
E06000039,140205,70120,70085,139697,508,1442,3253.61,43.09213458,50.01248172,49.98751828,99.63767341,0.362326593
E06000040,144560,71328,73232,141065,3495,2991,19650.96,7.356383607,49.34144992,50.65855008,97.58231876,2.41768124
E06000041,154380,76464,77916,151740,2640,3358,17897.92,8.625583308,49.52973183,50.47026817,98.28993393,1.710066071
E06000042,248821,123116,125705,246715,2106,3395,30862.53,8.062235986,49.47974648,50.52025352,99.15360842,0.846391583
E06000043,273369,136108,137261,266059,7310,2749,8266.71,33.0686573,49.78911288,50.21088712,97.32595869,2.674041314
E06000044,205056,103201,101855,200052,5004,1610,4041.14,50.74211732,50.32820303,49.67179697,97.55969101,2.440308989
E06000045,236882,119453,117429,228459,8423,1886,4988.93,47.48152409,50.42721693,49.57278307,96.44422117,3.555778827
E06000046,138265,67424,70841,133713,4552,1519,38016.1,3.637011687,48.76432937,51.23567063,96.70777131,3.292228691
E06000047,513242,251280,261962,500288,12954,4705,222606.26,2.305604523,48.9593603,51.0406397,97.47604444,2.523955561
E06000048,316028,154124,161904,310591,5437,3922,501301.83,0.630414615,48.76909641,51.23090359,98.27958282,1.720417178
E06000049,370127,181409,188718,365065,5062,6056,116637.63,3.173306934,49.0126362,50.9873638,98.63236132,1.367638675
E06000050,329608,160586,169022,326236,3372,4753,91665.6,3.595765478,48.72029805,51.27970195,98.97696658,1.023033422
E06000051,306129,151606,154523,298183,7946,4905,319730.32,0.957460024,49.52356686,50.47643314,97.40436221,2.595637787
E06000052,532273,257805,274468,523432,8841,6106,354618.74,1.500972566,48.4347318,51.5652682,98.33901024,1.660989755
E06000053,2203,1102,1101,2123,80,79,1637.47,1.345368159,50.02269632,49.97730368,96.36858829,3.631411711
E06000054,470981,231754,239227,457954,13027,9360,325534.12,1.446794579,49.20665589,50.79334411,97.23407101,2.765928987
E06000055,157479,77312,80167,154536,2943,2392,47641.2,3.305521272,49.09352993,50.90647007,98.1311794,1.868820605
E06000056,254381,126044,128337,252120,2261,3629,71566.45,3.554472801,49.5492981,50.4507019,99.11117576,0.888824244
E10000002,505283,248346,256937,497299,7984,10771,156494.89,3.228750792,49.14988234,50.85011766,98.41989539,1.580104615
E10000003,621210,309560,311650,598066,23144,9352,304624.19,2.039266809,49.83177991,50.16822009,96.27436777,3.725632234
E10000006,499858,246065,253793,490939,8919,6584,676655.85,0.738718213,49.22698046,50.77301954,98.21569326,1.784306743
E10000007,769686,378786,390900,760840,8846,8700,254669.96,3.022288141,49.21305571,50.78694429,98.85070016,1.149299844
E10000008,746399,361745,384654,727737,18662,10616,656421.67,1.137072455,48.46536504,51.53463496,97.4997287,2.500271303
E10000009,412905,201271,211634,403366,9539,6281,254162.16,1.624573068,48.74511086,51.25488914,97.68978336,2.310216636
E10000011,526671,253764,272907,515598,11073,7111,170855.38,3.08255438,48.18264154,51.81735846,97.89754894,2.102451056
E10000012,1393587,680161,713426,1375440,18147,17298,346438.95,4.022604849,48.80649719,51.19350281,98.6978208,1.302179197
E10000013,596984,292586,304398,586018,10966,9279,265324.94,2.250010873,49.01069375,50.98930625,98.16309985,1.836900151
E10000014,1317788,644938,672850,1296211,21577,20446,367894.9,3.581968655,48.94095257,51.05904743,98.36263496,1.637365039
E10000015,1116062,547110,568952,1101351,14711,18561,164306.58,6.792558156,49.02147013,50.97852987,98.68188326,1.318116735
E10000016,1463740,715613,748127,1435745,27995,19074,354352.64,4.130743883,48.88935193,51.11064807,98.08743356,1.912566439
E10000017,1171339,575146,596193,1143277,28062,14049,290320.2,4.034645195,49.10158374,50.89841626,97.60428023,2.39571977
E10000018,650489,321416,329073,636274,14215,9344,208287.86,3.12302887,49.41144278,50.58855722,97.81472093,2.185279075
E10000019,713653,347605,366048,698748,14905,9048,592061.92,1.205368857,48.70784541,51.29215459,97.91144996,2.088550038
E10000020,857888,420160,437728,841042,16846,9721,537056.1,1.597389919,48.97609012,51.02390988,98.03634041,1.963659592
E10000021,691952,341342,350610,681850,10102,9222,236397.29,2.927072472,49.33030037,50.66969963,98.54007214,1.459927856
E10000023,598376,294110,304266,582624,15752,9956,803761.29,0.744469792,49.15136971,50.84863029,97.36754148,2.632458521
E10000024,785802,386722,399080,774338,11464,8941,208477.38,3.769243455,49.2136696,50.7863304,98.54110832,1.45889168
E10000025,653798,322971,330827,624099,29699,12177,260491.51,2.509862989,49.39920281,50.60079719,95.45746546,4.542534544
E10000027,529972,258396,271576,517124,12848,8053,345054.82,1.535906671,48.75653808,51.24346192,97.57572098,2.424279019
E10000028,848489,419918,428571,832952,15537,9941,262027.95,3.238162188,49.49009357,50.50990643,98.16886253,1.831137469
E10000029,728163,359787,368376,714113,14050,9780,380018.39,1.916125691,49.4102282,50.5897718,98.07048697,1.929513035
E10000030,1132390,554665,577725,1105800,26590,21694,166249.81,6.811376205,48.98179956,51.01820044,97.65186906,2.348130944
E10000031,545474,269076,276398,537501,7973,7829,197508.17,2.761779424,49.3288406,50.6711594,98.53833547,1.461664534
E10000032,806892,390567,416325,791540,15352,11487,199049.35,4.053728384,48.40387561,51.59612439,98.09739098,1.902609023
E10000034,566169,278791,287378,556357,9812,7715,174051.71,3.252878125,49.24165753,50.75834247,98.26694856,1.733051439
E11000001,2682528,1325455,1357073,2639700,42828,26728,127603.05,21.02244421,49.41066785,50.58933215,98.4034463,1.596553699
E11000002,1381189,671034,710155,1355114,26075,12265,64488.08,21.41774108,48.58379266,51.41620734,98.11213382,1.887866179
E11000003,1343601,661772,681829,1321137,22464,11640,155153.09,8.65984042,49.25361026,50.74638974,98.32807508,1.671924924
E11000004,1104825,540596,564229,1086693,18132,7866,54005.18,20.45775979,48.9304641,51.0695359,98.35883511,1.64116489
E11000005,2736460,1346950,1389510,2693432,43028,24671,90163.85,30.34985751,49.22235297,50.77764703,98.42760355,1.572396454
E11000006,2226058,1093264,1132794,2188168,37890,21621,202927.26,10.96973369,49.11210759,50.88789241,98.29788802,1.702111985
E13000001,3231901,1608674,1623227,3181235,50666,35489,31929.3,101.2205404,49.77485387,50.22514613,98.43231584,1.567684159
E13000002,4942040,2424615,2517425,4892465,49575,64290,125285.78,39.44613666,49.06101529,50.93898471,98.99687174,1.003128263
W06000001,69751,34274,35477,68941,810,848,71124.11,0.98069417,49.13764677,50.86235323,98.83872633,1.161273673
W06000002,121874,59906,61968,117974,3900,1771,253493.94,0.480776779,49.15404434,50.84595566,96.79997374,3.200026257
W06000003,115228,55749,59479,112531,2697,1520,112582.88,1.023494869,48.38146978,51.61853022,97.65942306,2.340576943
W06000004,93734,45987,47747,92483,1251,1211,83674.27,1.120224891,49.06117311,50.93882689,98.66537222,1.334627776
W06000005,152506,75247,77259,151679,827,1719,43753.91,3.485539921,49.34035382,50.65964618,99.45772625,0.542273747
W06000006,134844,67052,67792,133244,1600,1370,50377.45,2.67667379,49.72560885,50.27439115,98.81344368,1.186556317
W06000008,75922,37793,38129,71444,4478,1203,178545.43,0.425225109,49.77872027,50.22127973,94.10184136,5.898158636
W06000009,122439,59823,62616,120545,1894,1728,161873.87,0.756385203,48.85943204,51.14056796,98.45310726,1.546892738
W06000010,183777,89837,93940,181227,2550,2254,237035.46,0.775314377,48.88370144,51.11629856,98.61244878,1.387551217
W06000011,239023,118087,120936,234363,4660,2558,37974.42,6.294316016,49.40403225,50.59596775,98.05039682,1.949603176
W06000012,139812,68450,71362,138682,1130,1192,44125.95,3.168475693,48.95860155,51.04139845,99.19177181,0.808228192
W06000013,139178,68789,70389,136842,2336,1501,25074.74,5.550526147,49.42519651,50.57480349,98.32157381,1.678426188
W06000014,126336,61522,64814,124259,2077,1857,33095.28,3.817341929,48.69712513,51.30287487,98.35597138,1.644028622
W06000015,346090,169893,176197,334551,11539,3917,14038.2,24.6534456,49.08925424,50.91074576,96.66589615,3.334103846
